storeno	city	zip
6157	CEDAR RAPIDS	52402
6158	DEARBORN	48126
6159	ANCHORAGE	99515
6160	MOUNT PROSPECT	60056
6161	OAKBROOK	60523
6162	ALBUQUERQUE	87123
6164	MAPLEWOOD	55109
6165	DALLAS	75204
6166	HOUSTON	77096
6167	NORTH MIAMI	33181
6168	SACRAMENTO	95825
6171	GLENDALE	85308
6174	FAIRLESS HILLS	19030
6175	WEST ALLIS	53227
6176	CINCINNATI	45245
6177	UNION CITY	94587
6178	VALLEJO	94591
6179	PLANO	75075
6180	MATTESON	60443
6181	BLAINE	55434
6182	GURNEE	60031
6183	BAYAMON	00961
6184	CAROLINA	00987
6185	CAGUAS	00725
6186	HUMBLE	77338
6188	SCOTTSDALE	85258
6189	MESA	85206
6190	SAINT LOUIS	63129
6191	ROCHESTER	55904
6194	OKEMOS	48864
6195	MOLINE	61265
6196	LUBBOCK	79424
6197	MAYAGUEZ	00680
6198	EAST WALPOLE	02032
6203	WAIPAHU	96797
6204	WESTLAKE	44145
6205	TIGARD	97223
6206	HONOLULU	96814
6207	CHESAPEAKE	23321
6208	CEDAR PARK	78613
6209	SAN JOSE	95118
6210	DULUTH	55811
6211	MANSFIELD	44906
6212	EVANSTON	60202
6214	SAINT AUGUSTINE	32086
6215	COON RAPIDS	55433
6216	RICHMOND	23230
6219	ELIZABETH CITY	27909
6222	ROANOKE	24012
6223	NIAGARA FALLS	14304
6224	FEASTERVILLE	19053
6225	ARVADA	80002
6226	EVANS	30809
6228	WILLOUGHBY HILLS	44092
6229	NORTHWOOD	43619
6230	FAYETTEVILLE	28303
6231	VIRGINIA BEACH	23451
6233	MEMPHIS	38104
6234	HOMEWOOD	35209
6235	BAKERSFIELD	93306
6236	LIMA	45805
6238	JACKSON	49202
6240	PHILADELPHIA	19149
6241	LEWISVILLE	75067
6242	ROTTERDAM	12306
6243	TUPELO	38804
6245	EVERGREEN PARK	60805
6246	ASHLAND	41101
6247	CINCINNATI	45249
6248	HENDERSON	89014
6249	AMARILLO	79124
6250	NORTH CANTON	44720
6251	LONGMONT	80501
6253	AUSTIN	78703
